期刊名称,总文献数,有审稿数据文献数,平均审稿周期(天),中位数(天),最短(天),最长(天),标准差(天),数据完整率(%)
Nature Medicine,43,42,203.8,202.5,27,679,116.1,97.7%
Nature Biotechnology,44,42,291.6,267.0,30,687,161.3,95.5%
Nature Genetics,125,117,363.9,346,76,716,144.6,93.6%
Nature Immunology,90,82,291.5,291.5,35,713,130.8,91.1%
Nature Neuroscience,96,85,420.1,423,137,714,136.1,88.5%
Nature Communications,195,194,265.7,248.0,40,691,114.3,99.5%
Cell,99,97,280.7,260,2,716,163.2,98.0%
Cell Metabolism,141,139,202.5,198,0,580,154.3,98.6%
Cell Stem Cell,143,142,217.4,227.0,0,669,165.0,99.3%
Developmental Cell,194,190,265.5,275.0,0,656,166.4,97.9%
The Lancet Oncology,73,73,53.3,43,0,208,53.2,100.0%
Blood,49,49,139.3,127,0,423,77.4,100.0%
EMBO Reports,48,47,200.7,184,3,695,145.6,97.9%
PLoS Biology,80,79,179.3,183,21,522,99.2,98.8%
Genome Biology,50,48,306.4,296.0,105,713,136.2,96.0%
